drug_city_2022,Prscrbr_State_Abrvtn,POPESTIMATE2022,total_prescriptions_2022,avg_aqi_2022,all_prescriptions_2022,asthma_fraction_2022,rate_per_1000_2022,total_cost_all_2022,total_cost_asthma_2022,asthma_cost_fraction_2022
El Dorado,AR,37858,8563,44.59130434782609,236258,0.03624427532612652,226.18733160758626,6773595.77,526323.41,0.07770221723756629
El Paso,TX,868890,91043,62.986301369863014,2714867,0.03353497611485203,104.78081230075153,241512786.67,8009097.01,0.033162206939144505
Elizabethtown,KY,126941,25742,45.18508287292818,413307,0.06228300028792157,202.7871215761653,24159655.81,3153385.32,0.13052277502623907
Elkhart,IN,207161,19710,44.146408839779006,461210,0.04273541336918107,95.14339088921177,29314315.32,2560104.73,0.0873329191575333
Elkhorn,WI,105705,3710,40.28,81720,0.045398923152227114,35.097677498699206,3490989,620832.58,0.17783859530923757
Ellensburg,WA,47368,2768,36.34340659340659,63931,0.04329667923229732,58.43607498733322,2415140.71,278135.8,0.11516339352335293
Emporia,KS,34553,4728,27.14876033057851,135914,0.034786703356534276,136.8332706277313,5350109.17,429951.88,0.08036319752331335
Erie,PA,269112,61678,40.04657534246575,1545758,0.0399014593487467,229.19082017895894,102358568.04,8161851.65,0.07973784516808095
Eugene,OR,386187,37621,68.5013698630137,887370,0.04239606928338799,97.4165365483561,58207069.43,4578254.62,0.07865461472005257
Evansville,IN,270133,52962,50.97808219178082,1320216,0.04011616280972204,196.05897835510655,76747056.34,7006326.56,0.09129114384480116
Fairbanks,AK,95749,5891,57.84109589041096,126790,0.04646265478350028,61.52544674095813,13434099.36,984277.57,0.07326710511987757
Fairmont,WV,55799,8175,37.05982905982906,140456,0.0582032807427237,146.50800193551856,5292339.41,797025.3,0.15059980818577168
Fallon,NV,25828,2636,38.12034383954155,40806,0.06459834338087536,102.05978008363017,1484633.97,291719.57,0.19649258732777078
Fargo,ND,259659,28701,42.52054794520548,812985,0.035303234377018024,110.53343038369553,63484088.48,4193625.28,0.06605789545708225
Farmington,NM,120580,11660,52.26301369863014,232984,0.0500463551145143,96.69928678056063,13625932.94,1074766.96,0.07887657782645743
Fayetteville,AR,578367,23406,48.5972602739726,571760,0.040936756681124946,40.46911390172676,49257981.9,3340461.02,0.06781562888186453
Fayetteville,NC,392827,44231,44.41111111111111,932441,0.047435709068992034,112.5966392330466,60624838.34,4572828.91,0.07542830686581588
Flagstaff,AZ,144326,7763,48.06301369863014,235977,0.03289727388686185,53.78795227471142,23306928.94,1052751.59,0.04516903933204337
Flint,MI,402031,53692,45.65384615384615,1258942,0.04264850962157113,133.55189027711793,103725244.29,7379804.01,0.0711476175401158
Florence,SC,136860,43135,44.94490358126722,962445,0.044818145452467414,315.17609235715327,95172134.06,5031372.26,0.052866023334393636
Fond Du Lac,WI,104010,13399,37.679802955665025,342353,0.03913796578385468,128.82415152389194,17574940.94,1491669.81,0.08487481210278251
Fort Atkinson,WI,85809,5065,39.005,122382,0.041386805249137945,59.02644244776189,3604057.55,355723.67,0.0987008850621711
Fort Collins,CO,368017,26499,57.43287671232877,741520,0.03573605566943575,72.00482586402258,67620731.44,4026967.3,0.05955225881537728
Fort Lauderdale,FL,1966237,20774,51.45479452054794,684757,0.03033776945690223,10.565359109812297,80327310.98,2082590.57,0.02592630756080614
Fort Madison,IA,32793,3034,39.27358490566038,89592,0.03386463077060452,92.5197450675449,2455675.29,163234.39,0.06647230220734925
Fort Payne,AL,72046,8923,38.36538461538461,196292,0.0454577873779879,123.85142825417094,7490837.55,585492.81,0.07816119440475652
Fort Smith,AR,230066,39628,42.91208791208791,1000095,0.03962423569760873,172.24622499630541,60370556.37,4427724.34,0.07334244715028457
Fort Wayne,IN,455058,96244,48.446575342465756,2534101,0.03797954383033668,211.49831450056917,197221995.77,14767257.29,0.07487632012010238
Franklin,TN,44156,12129,52.59452054794521,275444,0.04403435907117236,274.6852069933871,21947600.65,2352712.09,0.10719677870573975
Fresno,CA,1017107,121883,75.96164383561644,2651067,0.0459750734326971,119.83301658527569,224135132.62,14483984.37,0.06462166015961554
Gadsden,AL,102821,31066,44.56545961002786,548828,0.05660425488495485,302.1367230429581,37279390.41,3786761.73,0.10157788763048609
Gainesville,FL,349559,50320,41.11878453038674,1325744,0.037956045812766265,143.95280911090833,123840456.89,5934759.96,0.04792262649088487
Gainesville,GA,213126,51323,44.11538461538461,1084327,0.0473316628655378,240.81060030216867,109487763.68,9530944.85,0.08705031986821926
Gettysburg,PA,106017,6899,46.73972602739726,212214,0.03250963649900572,65.07446918890366,25539259.1,625062.57,0.024474577259760832
Gillette,WY,47049,3252,53.23287671232877,96746,0.03361379281830773,69.1194286807371,4181884.41,310587.68,0.07426979073292941
